name,latitude_deg,longitude_deg,iso_country
Julius Nyerere International Airport,-6.87811,39.202599,Tanzania
Abeid Amani Karume International Airport,-6.22202,39.224899,Tanzania
Entebbe International Airport,0.042386,32.443501,Uganda
Dhoho International Airport,-7.750278,111.947222,Indonesia
Navi Mumbai International Airport,18.984597,73.065253,India
Albuquerque International Sunport,35.039976,-106.608925,United States
Joint Base Andrews,38.810799,-76.866997,United States
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,United States
Austin Bergstrom International Airport,30.197535,-97.662015,United States
Bradley International Airport,41.93851,-72.688066,United States
Nashville International Airport,36.1245,-86.6782,United States
Logan International Airport,42.36197,-71.0079,United States
Buffalo Niagara International Airport,42.940498,-78.732201,United States
Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,United States
Cleveland Hopkins International Airport,41.411701,-81.8498,United States
Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,United States
John Glenn Columbus International Airport,39.998001,-82.891899,United States
Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,United States
Ronald Reagan Washington National Airport,38.8521,-77.037697,United States
Denver International Airport,39.861698150635,-104.672996521,United States
Dallas Fort Worth International Airport,32.896801,-97.038002,United States
Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,United States
Newark Liberty International Airport,40.692501,-74.168701,United States
Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,United States
Techo International Airport,11.359987,104.921272,Cambodia
Washington Dulles International Airport,38.9445,-77.455803,United States
George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,United States
Indianapolis International Airport,39.7173,-86.294403,United States
Jacksonville International Airport,30.492469,-81.687813,United States
John F Kennedy International Airport,40.639447,-73.779317,United States
Harry Reid International Airport,36.083361,-115.151817,United States
Los Angeles International Airport,33.942501,-118.407997,United States
LaGuardia Airport,40.777199,-73.872597,United States
Kansas City International Airport,39.2976,-94.713898,United States
Orlando International Airport,28.429399490356445,-81.30899810791016,United States
Chicago Midway International Airport,41.785999,-87.752403,United States
Memphis International Airport,35.0424,-89.9767,United States
Miami International Airport,25.79319953918457,-80.29060363769531,United States
General Mitchell International Airport,42.947201,-87.896599,United States
